Server Name,Week,CPU %,RAM,Date
CALBIPRD05,Wk 18,0.158,8.7,5/6/2017
CALBIPRD05,Wk 19,0.201,9,5/13/2017
CALBIPRD05,Wk 20,1.38,9.1,5/20/2017
CALBIPRD05,Wk 21,1.4,8.7,5/27/2017
CALBIPRD05,Wk 22,0.72,8.5,6/3/2017
CALBIPRD05,Wk 23,0.89,8.5,6/10/2017
CALBIPRD05,Wk 24,0.144,8.9,6/17/2017
CALBIPRD05,Wk 25,1.63,9,6/24/2017
CALBIPRD05,Wk 26,0.342,8.5,7/1/2017
CALBIPRD05,Wk 27,0.199,9.1,7/8/2017
CALBIPRD05,Wk 28,0.67,9.7,7/15/2017
CALBIPRD05,Wk 29,1.34,9.7,7/22/2017
CALBIPRD05,Wk 30,0.35,8.6,7/29/2017
CALBIPRD05,Wk 31,0.75,9.8,8/5/2017
CALBIPRD05,Wk 32,0.442,10,8/12/2017
CALBIPRD05,Wk 33,0.533,10.3,8/19/2017
CALBIPRD05,Wk 34,1.75,10.3,8/26/2017
CALBIPRD05,Wk 35,0.392,9.2,9/2/2017
CALBIPRD05,Wk 36,0.441,9.5,9/9/2017
CALBIPRD05,Wk 37,0.305,9.9,9/16/2017
CALBIPRD05,Wk 38,1.6,9.4,9/23/2017
CALBIPRD05,Wk 39,0.1455,8.8,9/30/2017
CALBIPRD05,Wk 40,0.66,9.3,10/7/2017
CALBIPRD05,Wk 41,0.91,9.7,10/14/2017
CALBIPRD05,Wk 42,1.278,9.9,10/21/2017
CALBIPRD05,Wk 43,4,9,10/28/2017
CALBIPRD05,Wk 44,3.96,10.4,11/4/2017
CALBIPRD05,Wk 45,3.29,9.2,11/11/2017
CALBIPRD05,Wk 46,2.98,10,11/18/2017
CALBIPRD05,Wk 47,2.1,10.3,11/25/2017
CALBIPRD05,Wk 48,19,11.3,12/2/2017
CALBIPRD05,Wk 49,5,9.5,12/9/2017
CALBIPRD05,Wk 50,5,10.2,12/16/2017
CALBIPRD05,Wk 51,4,11.2,12/23/2017
CALBIPRD05,WK 52,,,12/30/2017
CALBIPRD06,Wk 1,0.368,5.2,1/7/2017
CALBIPRD06,Wk 2,0.205,5.2,1/14/2017
CALBIPRD06,Wk 3,0.85,4.7,1/21/2017
CALBIPRD06,Wk 4,0.155,4.9,1/28/2017
CALBIPRD06,Wk 5,0.145,4.8,2/4/2017
CALBIPRD06,Wk 6,0.05,5.6,2/11/2017
CALBIPRD06,Wk 7,0.192,5.8,2/18/2017
CALBIPRD06,Wk 8,0.184,5.5,2/25/2017
CALBIPRD06,Wk 9,0.8,5.9,3/4/2017
CALBIPRD06,Wk 10,2.04,5.5,3/11/2017
CALBIPRD06,Wk 11,2.04,4.8,3/18/2017
CALBIPRD06,Wk 12,0.376,5,3/25/2017
CALBIPRD06,Wk 13,3.89,25.6,4/1/2017
CALBIPRD06,Wk 14,4,5.3,4/8/2017
CALBIPRD06,Wk 15,0.463,8.1,4/15/2017
CALBIPRD06,Wk 16,1.42,8.1,4/22/2017
CALBIPRD06,Wk 17,0.89,7.8,4/29/2017
CALBIPRD06,Wk 18,0.405,7.9,5/6/2017
CALBIPRD06,Wk 19,0.76,8,5/13/2017
CALBIPRD06,Wk 20,1.57,8.1,5/20/2017
CALBIPRD06,Wk 21,2.68,8.4,5/27/2017
CALBIPRD06,Wk 22,0.67,7.9,6/3/2017
CALBIPRD06,Wk 23,0.73,7,6/10/2017
CALBIPRD06,Wk 24,0.091,7.4,6/17/2017
CALBIPRD06,Wk 25,1.262,7.5,6/24/2017
CALBIPRD06,Wk 26,0.1275,7.4,7/1/2017
CALBIPRD06,Wk 27,0.0479,7.6,7/8/2017
CALBIPRD06,Wk 28,0.059,7.8,7/15/2017
CALBIPRD06,Wk 29,0.92,7.9,7/22/2017
CALBIPRD06,Wk 30,0.0345,7.2,7/29/2017
CALBIPRD06,Wk 31,0.044,7.4,8/5/2017
CALBIPRD06,Wk 32,0.039,7.4,8/12/2017
CALBIPRD06,Wk 33,0.0248,7.5,8/19/2017
CALBIPRD06,Wk 34,0.967,7.5,8/26/2017
CALBIPRD06,Wk 35,0.272,7.8,9/2/2017
CALBIPRD06,Wk 36,0.092,8,9/9/2017
CALBIPRD06,Wk 37,0.089,7.4,9/16/2017
CALBIPRD06,Wk 38,1.26,5.9,9/23/2017
CALBIPRD06,Wk 39,0.081,6.3,9/30/2017
CALBIPRD06,Wk 40,0.122,6.4,10/7/2017
CALBIPRD06,Wk 41,0.12,6.4,10/14/2017
CALBIPRD06,Wk 42,1.109,6.6,10/21/2017
CALBIPRD06,Wk 43,0.67,6,10/28/2017
CALBIPRD06,Wk 44,0.52,6.1,11/4/2017
CALBIPRD06,Wk 45,2.88,5.9,11/11/2017
CALBIPRD06,Wk 46,0.84,6.1,11/18/2017
CALBIPRD06,Wk 47,2.71,6.1,11/25/2017
CALBIPRD06,Wk 48,14,6.1,12/2/2017
CALBIPRD06,Wk 49,0.59,6.1,12/9/2017
CALBIPRD06,Wk 50,0.929,6.2,12/16/2017
CALBIPRD06,Wk 51,0.59,6.2,12/23/2017
CALBIPRD06,WK 52,,,12/30/2017
CALBIPRD07,Wk 1,2.67,6.1,1/7/2017
CALBIPRD07,Wk 2,0.199,5.3,1/14/2017
CALBIPRD07,Wk 3,0.33,5.7,1/21/2017
CALBIPRD07,Wk 4,0.1308,5.4,1/28/2017
CALBIPRD07,Wk 5,3.12,6.2,2/4/2017
CALBIPRD07,Wk 6,0.195,7.4,2/11/2017
CALBIPRD07,Wk 7,0.085,7.6,2/18/2017
CALBIPRD07,Wk 8,0.26,6.7,2/25/2017
CALBIPRD07,Wk 9,3.24,7,3/4/2017
CALBIPRD07,Wk 10,0.319,6.1,3/11/2017
CALBIPRD07,Wk 11,0.319,5.7,3/18/2017
CALBIPRD07,Wk 12,0.196,6,3/25/2017
CALBIPRD07,Wk 13,0.112,6.6,4/1/2017
CALBIPRD07,Wk 14,0.79,6.4,4/8/2017
CALBIPRD07,Wk 15,0.249,13.4,4/15/2017
CALBIPRD07,Wk 16,0.52,12.6,4/22/2017
CALBIPRD07,Wk 17,0.64,12.8,4/29/2017
CALBIPRD07,Wk 18,0.221,13.4,5/6/2017
CALBIPRD07,Wk 19,0.141,13.8,5/13/2017
CALBIPRD07,Wk 20,0.76,13.7,5/20/2017
CALBIPRD07,Wk 21,0.45,12.6,5/27/2017
CALBIPRD07,Wk 22,0.59,11,6/3/2017
CALBIPRD07,Wk 23,1.79,13,6/10/2017
CALBIPRD07,Wk 24,0.258,13.7,6/17/2017
CALBIPRD07,Wk 25,0.74,13.7,6/24/2017
CALBIPRD07,Wk 26,0.329,13.5,7/1/2017
CALBIPRD07,Wk 27,0.375,13.7,7/8/2017
CALBIPRD07,Wk 28,0.461,14.3,7/15/2017
CALBIPRD07,Wk 29,0.64,13.3,7/22/2017
CALBIPRD07,Wk 30,0.212,12.9,7/29/2017
CALBIPRD07,Wk 31,0.238,13.9,8/5/2017
CALBIPRD07,Wk 32,0.109,14.2,8/12/2017
CALBIPRD07,Wk 33,0.1527,14.3,8/19/2017
CALBIPRD07,Wk 34,1.81,14.8,8/26/2017
CALBIPRD07,Wk 35,1.83,15.2,9/2/2017
CALBIPRD07,Wk 36,1.02,15.3,9/9/2017
CALBIPRD07,Wk 37,1.05,15.3,9/16/2017
CALBIPRD07,Wk 38,1.68,14.5,9/23/2017
CALBIPRD07,Wk 39,0.2411,13.3,9/30/2017
CALBIPRD07,Wk 40,1.53,14.6,10/7/2017
CALBIPRD07,Wk 41,0.46,14.9,10/14/2017
CALBIPRD07,Wk 42,0.65,12.8,10/21/2017
CALBIPRD07,Wk 43,1.51,14.6,10/28/2017
CALBIPRD07,Wk 44,7,14.8,11/4/2017
CALBIPRD07,Wk 45,13,14.6,11/11/2017
CALBIPRD07,Wk 46,4.06,15.4,11/18/2017
CALBIPRD07,Wk 47,2.4,15,11/25/2017
CALBIPRD07,Wk 48,8,16,12/2/2017
CALBIPRD07,Wk 49,3.91,14,12/9/2017
CALBIPRD07,Wk 50,9.44,15,12/16/2017
CALBIPRD07,Wk 51,2.35,15.2,12/23/2017
CALBIPRD07,WK 52,,,12/30/2017
CALBIPRD08,Wk 1,1.02,10.1,1/7/2017
CALBIPRD08,Wk 2,1.035,10.3,1/14/2017
CALBIPRD08,Wk 3,1.175,10.5,1/21/2017
CALBIPRD08,Wk 4,1.02,10.2,1/28/2017
CALBIPRD08,Wk 5,1.04,10.5,2/4/2017
CALBIPRD08,Wk 6,1.012,10.6,2/11/2017
CALBIPRD08,Wk 7,1.016,11,2/18/2017
CALBIPRD08,Wk 8,1.024,11.1,2/25/2017
CALBIPRD08,Wk 9,1.058,11.6,3/4/2017
CALBIPRD08,Wk 10,0.249,11.8,3/11/2017
CALBIPRD08,Wk 11,0.249,7.6,3/18/2017
CALBIPRD08,Wk 12,0.187,10.9,3/25/2017
CALBIPRD08,Wk 13,1.033,11.8,4/1/2017
CALBIPRD08,Wk 14,1.258,12,4/8/2017
CALBIPRD08,Wk 15,1.053,16.5,4/15/2017
CALBIPRD08,Wk 16,1.025,18.1,4/22/2017
CALBIPRD08,Wk 17,1.19,15.7,4/29/2017
CALBIPRD08,Wk 18,1.0351,17.8,5/6/2017
CALBIPRD08,Wk 19,1.037,18.1,5/13/2017
CALBIPRD08,Wk 20,1.023,18.2,5/20/2017
CALBIPRD08,Wk 21,1.2,17.7,5/27/2017
CALBIPRD08,Wk 22,2.03,20.6,6/3/2017
CALBIPRD08,Wk 23,0.331,14.7,6/10/2017
CALBIPRD08,Wk 24,1.025,18,6/17/2017
CALBIPRD08,Wk 25,0.84,18,6/24/2017
CALBIPRD08,Wk 26,0.89,18.1,7/1/2017
CALBIPRD08,Wk 27,0.087,19.8,7/8/2017
CALBIPRD08,Wk 28,1.116,20,7/15/2017
CALBIPRD08,Wk 29,1.188,20.2,7/22/2017
CALBIPRD08,Wk 30,1.11,18.7,7/29/2017
CALBIPRD08,Wk 31,1.137,20.3,8/5/2017
CALBIPRD08,Wk 32,0.125,20.6,8/12/2017
CALBIPRD08,Wk 33,0.0978,20.8,8/19/2017
CALBIPRD08,Wk 34,0.51,20.9,8/26/2017
CALBIPRD08,Wk 35,1.183,19.9,9/2/2017
CALBIPRD08,Wk 36,1.155,21.6,9/9/2017
CALBIPRD08,Wk 37,1.0575,21.9,9/16/2017
CALBIPRD08,Wk 38,1.66,22,9/23/2017
CALBIPRD08,Wk 39,1.07,20,9/30/2017
CALBIPRD08,Wk 40,1.111,21.8,10/7/2017
CALBIPRD08,Wk 41,1.094,22,10/14/2017
CALBIPRD08,Wk 42,1.098,22.1,10/21/2017
CALBIPRD08,Wk 43,1.5,21.8,10/28/2017
CALBIPRD08,Wk 44,1.61,22.2,11/4/2017
CALBIPRD08,Wk 45,2.94,22.9,11/11/2017
CALBIPRD08,Wk 46,1.68,24.2,11/18/2017
CALBIPRD08,Wk 47,1.55,25.2,11/25/2017
CALBIPRD08,Wk 48,9,25.2,12/2/2017
CALBIPRD08,Wk 49,1.34,25.5,12/9/2017
CALBIPRD08,Wk 50,0.67,27.1,12/16/2017
CALBIPRD08,Wk 51,0.49,27.1,12/23/2017
CALBIPRD08,WK 52,,,12/30/2017
CALBITST05,Wk 1,0.071,26.5,1/7/2017
CALBITST05,Wk 2,0.0884,12,1/14/2017
CALBITST05,Wk 3,0.332,12,1/21/2017
CALBITST05,Wk 4,0.371,6.9,1/28/2017
CALBITST05,Wk 5,0.74,8.3,2/4/2017
CALBITST05,Wk 6,0.7,10.5,2/11/2017
CALBITST05,Wk 7,0.28,11.5,2/18/2017
CALBITST05,Wk 8,0.104,11.8,2/25/2017
CALBITST05,Wk 9,0.078,11.8,3/4/2017
CALBITST05,Wk 10,0.69,12.3,3/11/2017
CALBITST05,Wk 11,0.69,11.9,3/18/2017
CALBITST05,Wk 12,0.183,12.1,3/25/2017
CALBITST05,Wk 13,2.95,17.2,4/1/2017
CALBITST05,Wk 14,1.45,21.1,4/8/2017
CALBITST05,Wk 15,0.49,22.1,4/15/2017
CALBITST05,Wk 16,0.55,14.1,4/22/2017
CALBITST05,Wk 17,0.88,17.5,4/29/2017
CALBITST05,Wk 18,0.52,17.7,5/6/2017
CALBITST05,Wk 19,1.093,17.8,5/13/2017
CALBITST05,Wk 20,1.34,19.4,5/20/2017
CALBITST05,Wk 21,1.008,16.2,5/27/2017
CALBITST05,Wk 22,0.476,18,6/3/2017
CALBITST05,Wk 23,0.52,11.7,6/10/2017
CALBITST05,Wk 24,0.285,15.3,6/17/2017
CALBITST05,Wk 25,0.57,14.8,6/24/2017
CALBITST05,Wk 26,0.063,16.7,7/1/2017
CALBITST05,Wk 27,0.181,19.5,7/8/2017
CALBITST05,Wk 28,1.18,21,7/15/2017
CALBITST05,Wk 29,1.046,21.9,7/22/2017
CALBITST05,Wk 30,0.11,17.6,7/29/2017
CALBITST05,Wk 31,0.141,19.6,8/5/2017
CALBITST05,Wk 32,0.106,15.8,8/12/2017
CALBITST05,Wk 33,0.306,17.3,8/19/2017
CALBITST05,Wk 34,0.92,17.9,8/26/2017
CALBITST05,Wk 35,0.064,15.6,9/2/2017
CALBITST05,Wk 36,0.099,17.7,9/9/2017
CALBITST05,Wk 37,0.078,18.8,9/16/2017
CALBITST05,Wk 38,1.064,19.3,9/23/2017
CALBITST05,Wk 39,0.0619,15.4,9/30/2017
CALBITST05,Wk 40,0.268,17.3,10/7/2017
CALBITST05,Wk 41,1.043,18.8,10/14/2017
CALBITST05,Wk 42,1.057,19.3,10/21/2017
CALBITST05,Wk 43,5,17.2,10/28/2017
CALBITST05,Wk 44,1.46,18.8,11/4/2017
CALBITST05,Wk 45,1.94,14.9,11/11/2017
CALBITST05,Wk 46,2.84,17.4,11/18/2017
CALBITST05,Wk 47,2.62,18.8,11/25/2017
CALBITST05,Wk 48,6,19.3,12/2/2017
CALBITST05,Wk 49,1.43,16.7,12/9/2017
CALBITST05,Wk 50,2.68,18.3,12/16/2017
CALBITST05,Wk 51,2,18.8,12/23/2017
CALBITST05,WK 52,,,12/30/2017
CALMFRRSQL,Wk 1,0.312,12.06,1/7/2017
CALMFRRSQL,Wk 2,0.286,12.06,1/14/2017
CALMFRRSQL,Wk 3,1.64,12.16,1/21/2017
CALMFRRSQL,Wk 4,0.372,11.8,1/28/2017
CALMFRRSQL,Wk 5,24,27.6,2/4/2017
